ID;Date;T[°C];RH[%rH];
1;01/02/2023 09:51:00;20,7;44,2;
2;01/02/2023 09:56:00;21,5;41,7;
3;01/02/2023 10:01:00;21,6;41,4;
4;01/02/2023 10:06:00;21,8;40,3;
5;01/02/2023 10:11:00;21,8;40,3;
6;01/02/2023 10:16:00;22;39,9;
7;01/02/2023 10:21:00;22;39,2;
8;01/02/2023 10:26:00;22,1;39,7;
9;01/02/2023 10:31:00;22,1;39,5;
10;01/02/2023 10:36:00;22,1;39,4;
11;01/02/2023 10:41:00;22,1;39,2;
12;01/02/2023 10:46:00;22,2;39,1;
13;01/02/2023 10:51:00;22,2;38,9;
14;01/02/2023 10:56:00;22,2;38,9;
15;01/02/2023 11:01:00;22,1;38,8;
16;01/02/2023 11:06:00;22,1;38,9;
17;01/02/2023 11:11:00;22,1;38,6;
18;01/02/2023 11:16:00;22,1;38,5;
19;01/02/2023 11:21:00;22;38,4;
20;01/02/2023 11:26:00;22;38,4;
21;01/02/2023 11:31:00;22;38,4;
22;01/02/2023 11:36:00;22;38,3;
23;01/02/2023 11:41:00;22;38,2;
24;01/02/2023 11:46:00;22;38,2;
25;01/02/2023 11:51:00;22;38;
26;01/02/2023 11:56:00;21,9;38,2;
27;01/02/2023 12:01:00;21,9;38,1;
28;01/02/2023 12:06:00;21,9;38,1;
29;01/02/2023 12:11:00;21,9;38;
30;01/02/2023 12:16:00;21,9;38;
31;01/02/2023 12:21:00;22;38;
32;01/02/2023 12:26:00;22;38;
33;01/02/2023 12:31:00;22;37,9;
34;01/02/2023 12:36:00;22;37,8;
35;01/02/2023 12:41:00;22;37,7;
36;01/02/2023 12:46:00;22;37,7;
37;01/02/2023 12:51:00;22;37,5;
38;01/02/2023 12:56:00;22,1;37,5;
39;01/02/2023 13:01:00;22,1;37,4;
40;01/02/2023 13:06:00;22,1;37,3;
41;01/02/2023 13:11:00;22,1;37,2;
42;01/02/2023 13:16:00;22,1;37,1;
43;01/02/2023 13:21:00;22,1;37,1;
44;01/02/2023 13:26:00;22,1;37;
45;01/02/2023 13:31:00;22,1;37;
46;01/02/2023 13:36:00;22,2;37;
47;01/02/2023 13:41:00;22,2;36,9;
48;01/02/2023 13:46:00;22,3;36,8;
49;01/02/2023 13:51:00;22,3;36,8;
50;01/02/2023 13:56:00;22,4;36,7;
51;01/02/2023 14:01:00;22,4;36,6;
52;01/02/2023 14:06:00;22,5;36,5;
53;01/02/2023 14:11:00;22,5;36,4;
54;01/02/2023 14:16:00;22,6;36,3;
55;01/02/2023 14:21:00;22,6;36,3;
56;01/02/2023 14:26:00;22,6;36,1;
57;01/02/2023 14:31:00;22,6;36,1;
58;01/02/2023 14:36:00;22,6;36;
59;01/02/2023 14:41:00;22,6;35,9;
60;01/02/2023 14:46:00;22,6;35,9;
61;01/02/2023 14:51:00;22,6;35,9;
62;01/02/2023 14:56:00;22,6;35,8;
63;01/02/2023 15:01:00;22,6;35,8;
64;01/02/2023 15:06:00;22,6;35,8;
65;01/02/2023 15:11:00;22,5;35,8;
66;01/02/2023 15:16:00;22,5;35,8;
67;01/02/2023 15:21:00;22,5;35,8;
68;01/02/2023 15:26:00;22,5;35,8;
69;01/02/2023 15:31:00;22,5;35,8;
70;01/02/2023 15:36:00;22,5;35,7;
71;01/02/2023 15:41:00;22,5;35,7;
72;01/02/2023 15:46:00;22,5;35,7;
73;01/02/2023 15:51:00;22,4;35,7;
74;01/02/2023 15:56:00;22,4;35,6;
75;01/02/2023 16:01:00;22,4;35,6;
76;01/02/2023 16:06:00;22,4;35,7;
77;01/02/2023 16:11:00;22,4;35,6;
78;01/02/2023 16:16:00;22,4;35,6;
79;01/02/2023 16:21:00;22,3;35,6;
80;01/02/2023 16:26:00;22,3;35,6;
81;01/02/2023 16:31:00;22,3;35,6;
82;01/02/2023 16:36:00;22,3;35,6;
83;01/02/2023 16:41:00;22,2;35,6;
84;01/02/2023 16:46:00;22,2;35,5;
85;01/02/2023 16:51:00;22,2;35,5;
86;01/02/2023 16:56:00;22,2;35,6;
87;01/02/2023 17:01:00;22,2;35,6;
88;01/02/2023 17:06:00;22,1;35,6;
89;01/02/2023 17:11:00;22,1;35,6;
90;01/02/2023 17:16:00;22,1;35,6;
91;01/02/2023 17:21:00;22,1;35,6;
92;01/02/2023 17:26:00;22;35,6;
93;01/02/2023 17:31:00;22;35,6;
94;01/02/2023 17:36:00;22;35,6;
95;01/02/2023 17:41:00;22;35,7;
96;01/02/2023 17:46:00;22;36,1;
