ID;Date;T[°C];RH[%rH];
1;01/02/2023 09:55:00;20,5;48,2;
2;01/02/2023 10:00:00;21,8;40;
3;01/02/2023 10:05:00;21,8;39,8;
4;01/02/2023 10:10:00;21,9;39,6;
5;01/02/2023 10:15:00;22;39,2;
6;01/02/2023 10:20:00;22,1;39;
7;01/02/2023 10:25:00;22,1;38,9;
8;01/02/2023 10:30:00;22,1;38,7;
9;01/02/2023 10:35:00;22,2;38,3;
10;01/02/2023 10:40:00;22,2;38,3;
11;01/02/2023 10:45:00;22,2;38,1;
12;01/02/2023 10:50:00;22,2;38,1;
13;01/02/2023 10:55:00;22,3;37,9;
14;01/02/2023 11:00:00;22,3;37,9;
15;01/02/2023 11:05:00;22,4;37,9;
16;01/02/2023 11:10:00;22,4;37,5;
17;01/02/2023 11:15:00;22,4;37,6;
18;01/02/2023 11:20:00;22,4;37,5;
19;01/02/2023 11:25:00;22,4;37,2;
20;01/02/2023 11:30:00;22,4;37;
21;01/02/2023 11:35:00;22,5;37,1;
22;01/02/2023 11:40:00;22,5;37;
23;01/02/2023 11:45:00;22,5;36,9;
24;01/02/2023 11:50:00;22,5;36,9;
25;01/02/2023 11:55:00;22,5;36,9;
26;01/02/2023 12:00:00;22,5;36,9;
27;01/02/2023 12:05:00;22,6;36,7;
28;01/02/2023 12:10:00;22,6;36,9;
29;01/02/2023 12:15:00;22,6;36,8;
30;01/02/2023 12:20:00;22,6;36,8;
31;01/02/2023 12:25:00;22,6;36,6;
32;01/02/2023 12:30:00;22,7;36,7;
33;01/02/2023 12:35:00;22,7;36,4;
34;01/02/2023 12:40:00;22,7;36,4;
35;01/02/2023 12:45:00;22,7;36,2;
36;01/02/2023 12:50:00;22,7;36,1;
37;01/02/2023 12:55:00;22,7;35,9;
38;01/02/2023 13:00:00;22,7;35,9;
39;01/02/2023 13:05:00;22,7;35,8;
40;01/02/2023 13:10:00;22,7;35,7;
41;01/02/2023 13:15:00;22,7;35,6;
42;01/02/2023 13:20:00;22,7;35,6;
43;01/02/2023 13:25:00;22,7;35,5;
44;01/02/2023 13:30:00;22,8;35,4;
45;01/02/2023 13:35:00;22,8;35,1;
46;01/02/2023 13:40:00;22,8;35,1;
47;01/02/2023 13:45:00;22,8;35,1;
48;01/02/2023 13:50:00;22,8;35,1;
49;01/02/2023 13:55:00;22,8;35,1;
50;01/02/2023 14:00:00;22,9;35,1;
51;01/02/2023 14:05:00;22,9;35;
52;01/02/2023 14:10:00;22,9;35;
53;01/02/2023 14:15:00;22,9;34,9;
54;01/02/2023 14:20:00;22,9;35;
55;01/02/2023 14:25:00;22,9;34,9;
56;01/02/2023 14:30:00;22,9;34,9;
57;01/02/2023 14:35:00;22,9;34,9;
58;01/02/2023 14:40:00;22,9;34,8;
59;01/02/2023 14:45:00;23;34,7;
60;01/02/2023 14:50:00;22,9;34,7;
61;01/02/2023 14:55:00;23;34,7;
62;01/02/2023 15:00:00;23;34,7;
63;01/02/2023 15:05:00;23;34,6;
64;01/02/2023 15:10:00;23;34,7;
65;01/02/2023 15:15:00;23;34,6;
66;01/02/2023 15:20:00;23;34,5;
67;01/02/2023 15:25:00;23;34,4;
68;01/02/2023 15:30:00;23;34,3;
69;01/02/2023 15:35:00;23;34,4;
70;01/02/2023 15:40:00;23;34,3;
71;01/02/2023 15:45:00;23;34,2;
72;01/02/2023 15:50:00;23;34,2;
73;01/02/2023 15:55:00;23;34,4;
74;01/02/2023 16:00:00;23;34,4;
75;01/02/2023 16:05:00;23;34,3;
76;01/02/2023 16:10:00;22,9;34,4;
77;01/02/2023 16:15:00;22,9;34,4;
78;01/02/2023 16:20:00;22,9;34,3;
79;01/02/2023 16:25:00;22,9;34,3;
80;01/02/2023 16:30:00;22,9;34,2;
81;01/02/2023 16:35:00;22,8;34,2;
82;01/02/2023 16:40:00;22,8;34,2;
83;01/02/2023 16:45:00;22,8;34,4;
84;01/02/2023 16:50:00;22,8;34,3;
85;01/02/2023 16:55:00;22,8;34,3;
86;01/02/2023 17:00:00;22,8;34,2;
87;01/02/2023 17:05:00;22,8;34,3;
88;01/02/2023 17:10:00;22,8;34,3;
89;01/02/2023 17:15:00;22,7;34,3;
90;01/02/2023 17:20:00;22,7;34,4;
91;01/02/2023 17:25:00;22,7;34,3;
92;01/02/2023 17:30:00;22,7;34,4;
93;01/02/2023 17:35:00;22,7;34,4;
94;01/02/2023 17:40:00;22,6;34,3;
95;01/02/2023 17:45:00;22,6;34,5;
96;01/02/2023 17:50:00;22,6;34,4;
97;01/02/2023 17:55:00;22,6;34,5;
98;01/02/2023 18:00:00;22,6;34,5;
99;01/02/2023 18:05:00;22,6;34,6;
100;01/02/2023 18:10:00;22,6;34,7;
101;01/02/2023 18:15:00;22,6;34,7;
102;01/02/2023 18:20:00;22,6;34,7;
103;01/02/2023 18:25:00;22,6;34,7;
104;01/02/2023 18:30:00;22,5;34,8;
105;01/02/2023 18:35:00;22,5;34,8;
106;01/02/2023 18:40:00;22,5;34,8;
107;01/02/2023 18:45:00;22,5;34,8;
108;01/02/2023 18:50:00;22,5;34,8;
109;01/02/2023 18:55:00;22,5;34,9;
110;01/02/2023 19:00:00;22,5;34,9;
111;01/02/2023 19:05:00;22,5;35;
112;01/02/2023 19:10:00;22,5;35;
113;01/02/2023 19:15:00;22,5;35;
114;01/02/2023 19:20:00;22,5;35,1;
115;01/02/2023 19:25:00;22,5;35,1;
116;01/02/2023 19:30:00;22,4;35,1;
117;01/02/2023 19:35:00;22,4;35,2;
118;01/02/2023 19:40:00;22,4;35,2;
119;01/02/2023 19:45:00;22,4;35,3;
120;01/02/2023 19:50:00;22,4;35,2;
121;01/02/2023 19:55:00;22,4;35,3;
122;01/02/2023 20:00:00;22,4;35,2;
123;01/02/2023 20:05:00;22,4;35,4;
124;01/02/2023 20:10:00;22,4;35,4;
125;01/02/2023 20:15:00;22,4;35,4;
126;01/02/2023 20:20:00;22,4;35,4;
127;01/02/2023 20:25:00;22,4;35,4;
128;01/02/2023 20:30:00;22,4;35,4;
129;01/02/2023 20:35:00;22,4;35,4;
130;01/02/2023 20:40:00;22,4;35,4;
131;01/02/2023 20:45:00;22,4;35,5;
132;01/02/2023 20:50:00;22,4;35,5;
133;01/02/2023 20:55:00;22,4;35,5;
134;01/02/2023 21:00:00;22,4;35,5;
135;01/02/2023 21:05:00;22,4;35,5;
136;01/02/2023 21:10:00;22,4;35,5;
137;01/02/2023 21:15:00;22,3;35,5;
138;01/02/2023 21:20:00;22,3;35,5;
139;01/02/2023 21:25:00;22,3;35,5;
140;01/02/2023 21:30:00;22,3;35,6;
141;01/02/2023 21:35:00;22,3;35,5;
142;01/02/2023 21:40:00;22,3;35,5;
143;01/02/2023 21:45:00;22,3;35,5;
144;01/02/2023 21:50:00;22,3;35,5;
145;01/02/2023 21:55:00;22,3;35,5;
146;01/02/2023 22:00:00;22,3;35,6;
147;01/02/2023 22:05:00;22,3;35,6;
148;01/02/2023 22:10:00;22,3;35,5;
149;01/02/2023 22:15:00;22,3;35,5;
150;01/02/2023 22:20:00;22,3;35,4;
151;01/02/2023 22:25:00;22,3;35,4;
152;01/02/2023 22:30:00;22,3;35,4;
153;01/02/2023 22:35:00;22,3;35,4;
154;01/02/2023 22:40:00;22,3;35,3;
155;01/02/2023 22:45:00;22,3;35,4;
156;01/02/2023 22:50:00;22,3;35,3;
157;01/02/2023 22:55:00;22,3;35,3;
158;01/02/2023 23:00:00;22,3;35,3;
159;01/02/2023 23:05:00;22,3;35,2;
160;01/02/2023 23:10:00;22,3;35,3;
161;01/02/2023 23:15:00;22,3;35,3;
162;01/02/2023 23:20:00;22,3;35,2;
163;01/02/2023 23:25:00;22,3;35,3;
164;01/02/2023 23:30:00;22,3;35,2;
165;01/02/2023 23:35:00;22,2;35,2;
166;01/02/2023 23:40:00;22,3;35,3;
167;01/02/2023 23:45:00;22,2;35,2;
168;01/02/2023 23:50:00;22,2;35,3;
